NAME,AREA_KM2,the_geom,NUMBER
Meadowlark Park,1.108866873861059,"MULTIPOLYGON (((-113.59032869971604 53.52667312844492, -113.59032259878049 53.52492127457171, -113.59033015320583 53.52309917428982, -113.59032269161456 53.52127746770996, -113.59035223779854 53.519464171897496, -113.59169738229717 53.51946457847115, -113.59665273290186 53.51948744855505, -113.59961006892532 53.51951594238598, -113.60287825050054 53.51952246977527, -113.60281444573556 53.522492588186516, -113.60280899107461 53.523736331013055, -113.60276675945808 53.52672098723879, -113.60272792219071 53.52834544837858, -113.6027033038922 53.53159971755159, -113.59733607501956 53.531566799036234, -113.59383219307674 53.53155226211457, -113.59207831481292 53.53154188408631, -113.59034553831883 53.5315304048011, -113.59034223707224 53.529165672455036, -113.59034217693795 53.52761791261968, -113.59032869971604 53.52667312844492)))",4310
Grovenor,0.920762562848808,"MULTIPOLYGON (((-113.56750947303009 53.540051842693565, -113.56826438887971 53.54005274872388, -113.56891354886685 53.54023311239043, -113.5695652903949 53.540047503637915, -113.5703848462491 53.54019380343005, -113.57254921509265 53.54103296770426, -113.57254950536691 53.541149782042666, -113.57254913612651 53.5412622888553, -113.57265783655667 53.54130716569274, -113.57375983374719 53.54130882132798, -113.57385387065736 53.54137470819198, -113.57405829258978 53.54156975101225, -113.57411391916145 53.54198682839176, -113.57427195802444 53.54210412405902, -113.57474409598434 53.5421405832794, -113.57595637900303 53.542109843705816, -113.57659830840183 53.54204553431076, -113.57805068410607 53.541744233333205, -113.57807251788482 53.543284393965614, -113.57808194201432 53.54402142223728, -113.57809923635585 53.5463585630169, -113.57808987272367 53.548611811785165, -113.57799379734887 53.54950392831503, -113.57796505276399 53.55106115626701, -113.56922459620091 53.55105614292586, -113.56582457487306 53.55098305640589, -113.56576177695479 53.54879097177073, -113.56577176519741 53.5486026010581, -113.56575282101929 53.54777780248184, -113.56575119768029 53.546731538123545, -113.56574968405228 53.54631286287224, -113.56573111656729 53.54567069571508, -113.56573139626784 53.54401435692251, -113.56570571143766 53.542924406290716, -113.56568932960259 53.54210022372099, -113.56568573463336 53.54123913127188, -113.56566915554895 53.540384616420155, -113.56566690092555 53.539736470122484, -113.56687815032808 53.539741904977845, -113.56713224439467 53.53978574221777, -113.56739207320685 53.53989353993666, -113.56750947303009 53.540051842693565)))",3210
Britannia Youngstown,1.638283481020854,"MULTIPOLYGON (((-113.59036615723038 53.54950887041154, -113.59036916090318 53.548707654325774, -113.59034953967412 53.54795738629886, -113.59033057311981 53.546403687595834, -113.59033513742285 53.54485826105638, -113.59031390359102 53.5433090106597, -113.5903250205619 53.541295010462676, -113.59208116138525 53.5412874167645, -113.59382205742081 53.54129980303957, -113.59560931836704 53.54129494101546, -113.59738495738242 53.54129462205452, -113.59917945123519 53.541293685195505, -113.60090951425927 53.54130068719657, -113.60267449339958 53.54130272167561, -113.60453006955207 53.54129205622596, -113.60603212650531 53.54128983069661, -113.6075273140545 53.54129153240255, -113.60928990887837 53.54128439476929, -113.61283879554443 53.541280562406854, -113.61487450333355 53.54128521354535, -113.61488581703725 53.54241636608306, -113.61506620822612 53.5430723348486, -113.61542618177259 53.54349632385622, -113.61491771166081 53.54379066938818, -113.61387272569779 53.544975476564616, -113.61266655987812 53.546320590181715, -113.61099423066275 53.54843805004795, -113.60891317465548 53.55126606828388, -113.6028191759683 53.551303953086446, -113.5957035176757 53.55130867699139, -113.59363069972315 53.55128258510656, -113.5911842117311 53.55110694440046, -113.59036140643299 53.55111309191061, -113.59036615723038 53.54950887041154)))",4060
Evansdale,1.56806666340562,"MULTIPOLYGON (((-113.47970029870773 53.61522713863542, -113.47623664663418 53.61561158320942, -113.4744820422429 53.61581622111172, -113.47318087871318 53.6159002723692, -113.46742045450509 53.61591375445604, -113.4674279826024 53.61053885620181, -113.46743523571385 53.60691755886939, -113.46961818955633 53.60690984977063, -113.47022601929521 53.60689581096775, -113.47086485888046 53.60685578202465, -113.47158508284718 53.60676727921315, -113.47225008266119 53.60664583008683, -113.47373112695301 53.606365273661716, -113.47641979230852 53.605898481210616, -113.47672620998257 53.605850278177535, -113.47791436479486 53.605768466146564, -113.48101443948305 53.60576856519678, -113.48173969843904 53.60581186254094, -113.48244079299667 53.60591539782137, -113.48510468465732 53.60630609229288, -113.488501570599 53.60679389523717, -113.4889330013258 53.606820031928166, -113.49168085687242 53.60678496757168, -113.49170507787437 53.60810574184992, -113.49171395279038 53.612751814134846, -113.49179330220144 53.61403255373195, -113.48966991380554 53.61402373681121, -113.48906656552535 53.61404155039675, -113.48794288078787 53.61419004433826, -113.48600883911057 53.61444001997937, -113.47970029870773 53.61522713863542)))",2260
Northmount,1.224062074465858,"MULTIPOLYGON (((-113.48510468465732 53.60630609229288, -113.48244079299667 53.60591539782137, -113.48173969843904 53.60581186254094, -113.48101443948305 53.60576856519678, -113.47791436479486 53.605768466146564, -113.47672620998257 53.605850278177535, -113.47641979230852 53.605898481210616, -113.47373112695301 53.606365273661716, -113.47225008266119 53.60664583008683, -113.47158508284718 53.60676727921315, -113.47086485888046 53.60685578202465, -113.47022601929521 53.60689581096775, -113.46961818955633 53.60690984977063, -113.46743523571385 53.60691755886939, -113.46747438950973 53.60374214072939, -113.46748832533869 53.601051655497955, -113.46740087977098 53.599661196836166, -113.471124276422 53.59960897045671, -113.4746370048835 53.599557925621106, -113.48090773346007 53.59949313444317, -113.48505612852662 53.59949969787975, -113.49207016255387 53.59949732100099, -113.49182053123114 53.60176420041146, -113.49168085687242 53.60678496757168, -113.4889330013258 53.606820031928166, -113.488501570599 53.60679389523717, -113.48510468465732 53.60630609229288)))",2580
Prince Rupert,1.144949477819853,"MULTIPOLYGON (((-113.51740826792087 53.56462645447634, -113.51230654891343 53.562482971148356, -113.5107860966897 53.56183650888602, -113.50842180689861 53.5608193020673, -113.50657152330679 53.560028748728946, -113.50390644639882 53.55890022363424, -113.50658786456435 53.55889503215972, -113.50843165171824 53.55889173320299, -113.51024073606848 53.558892723316454, -113.51215245827446 53.55889088933953, -113.51580004070033 53.558879139991575, -113.52130231500715 53.558889197238734, -113.52685223716485 53.55887501148401, -113.52930214635205 53.5588846771563, -113.53089868175105 53.55889317411785, -113.53089654137473 53.562327337775116, -113.53090708042559 53.56597281325682, -113.53091258785287 53.5701387876348, -113.53094778701802 53.57031399254778, -113.53071990690533 53.57029406754236, -113.53050845487914 53.57024650460154, -113.52994479435003 53.570009742671026, -113.52855684991722 53.56937469487247, -113.52647829067064 53.56848751440153, -113.5211913236797 53.566245421866874, -113.51965490363017 53.56559289630764, -113.51740826792087 53.56462645447634)))",1170
Spruce Avenue,1.214704565359573,"MULTIPOLYGON (((-113.51230654891343 53.562482971148356, -113.50837334981887 53.56413984405742, -113.50561748396746 53.56532148638415, -113.5030469538935 53.566393170897, -113.50289594238967 53.56706217114287, -113.50292307522471 53.570359757552374, -113.50106786950839 53.570356200928636, -113.4992602777037 53.5703574530162, -113.49740321516576 53.57036319741452, -113.49551837329159 53.57036208569104, -113.49371843907518 53.570365712135015, -113.49202858097338 53.5703774027565, -113.49181517666202 53.569905452589765, -113.49182402260647 53.56884944253916, -113.4917987911018 53.56731587619702, -113.49179781034852 53.56577647965544, -113.49178150527533 53.56424466157778, -113.4917619194409 53.562704295149786, -113.49175182442981 53.56103482021571, -113.49173285065292 53.559469071685406, -113.49184845691431 53.55902366246176, -113.49371025185816 53.55889384634949, -113.49555386069792 53.558893464030945, -113.50106150260389 53.55889871943476, -113.50298572520718 53.558899838644976, -113.50390644639882 53.55890022363424, -113.50657152330679 53.560028748728946, -113.50842180689861 53.5608193020673, -113.5107860966897 53.56183650888602, -113.51230654891343 53.562482971148356)))",1230
Westwood,0.98300802947789,"MULTIPOLYGON (((-113.49225733739898 53.576616671002725, -113.49225541087733 53.57532301438725, -113.49226895981884 53.573541333974234, -113.49226543618816 53.57195296478657, -113.49228046073681 53.57090606875002, -113.49202858097338 53.5703774027565, -113.49371843907518 53.570365712135015, -113.49551837329159 53.57036208569104, -113.49740321516576 53.57036319741452, -113.4992602777037 53.5703574530162, -113.50106786950839 53.570356200928636, -113.50292307522471 53.570359757552374, -113.5029489511206 53.57083171784058, -113.50310692445665 53.57195430707139, -113.50313309631017 53.57354111868601, -113.50326611862977 53.57378891974086, -113.50345253441239 53.573993109968725, -113.50387612373507 53.57432123997082, -113.50450067191349 53.57474925911537, -113.5048424439011 53.57512887318551, -113.50489663895574 53.575382957353334, -113.50491575017011 53.575629044969816, -113.50490568753713 53.576711503405704, -113.50490517118448 53.57829522062406, -113.50489398755663 53.579441318873734, -113.50510686051123 53.58138624602095, -113.49648753092366 53.58152850939907, -113.49212852957365 53.58147609829505, -113.49225660711254 53.58084976451292, -113.49226738912249 53.579441029211985, -113.49225500699998 53.578304329102444, -113.49225733739898 53.576616671002725)))",1250
Highlands,1.147097060110376,"MULTIPOLYGON (((-113.43677408570937 53.56293382881581, -113.43800254575969 53.5626374890263, -113.43771184616796 53.56193224643876, -113.43785391999612 53.56189611852063, -113.4389793609546 53.561624729764496, -113.43943390052452 53.5622921207621, -113.44168173152927 53.565596162839284, -113.44265545621786 53.56703383847304, -113.44363273223482 53.56847235618025, -113.44461256211014 53.56990847046672, -113.44487378754097 53.57036755267283, -113.4445507937993 53.570366413697734, -113.4429747429402 53.57035906471894, -113.4414469616609 53.57036253158387, -113.43988850025426 53.57037031424758, -113.4381540928261 53.57037075922328, -113.43647255791444 53.570369278378124, -113.43530256754504 53.57037245010871, -113.43377749643106 53.57036679394516, -113.43303319238872 53.57036451730611, -113.43225225369241 53.57036535347089, -113.42764965536574 53.57036088853238, -113.42611448215405 53.57036074739221, -113.42459403772277 53.57035782300266, -113.42153793811106 53.570354673137004, -113.42001258356453 53.57035393799966, -113.41839446696432 53.57034991876624, -113.41839887052775 53.5694593375561, -113.41839309583483 53.5685688332526, -113.41839174728783 53.56767414092994, -113.41839079994385 53.56725573424586, -113.41838652762054 53.566783722808715, -113.41838680142537 53.565892678520434, -113.41839146567172 53.56558580111482, -113.42002056671554 53.56540094096915, -113.4215471787524 53.56524047183069, -113.42307353247601 53.565090671923805, -113.4258246295192 53.56479708192558, -113.42902389270657 53.56446030047441, -113.42939800432137 53.564395913765, -113.43157760084618 53.56360884361635, -113.43396299951111 53.56273302959376, -113.43449122926154 53.562630970174204, -113.43491325386667 53.56259114144841, -113.43544008556518 53.56256730774428, -113.43580796972849 53.56252799285181, -113.436060224596 53.56254612042393, -113.43633655589268 53.56262576139672, -113.43654834433963 53.562745325624405, -113.43677408570937 53.56293382881581)))",2330
Elmwood,1.025925188734151,"MULTIPOLYGON (((-113.61531596615988 53.51955447261711, -113.61079464388318 53.51956130922489, -113.60883326720354 53.519536056347754, -113.6054538329399 53.51953488606456, -113.60287825050054 53.51952246977527, -113.59961006892532 53.51951594238598, -113.59665273290186 53.51948744855505, -113.59668461372847 53.51685447107083, -113.59671689107465 53.515172751083746, -113.59672251490322 53.51191520169878, -113.60338998528259 53.51206911076231, -113.61190088902198 53.51209836149572, -113.61524699604665 53.51210780730298, -113.61531596615988 53.51955447261711)))",4140
